user_ID,movie 1,movie 2,movie 3,movie 4,movie 5,movie 6,movie 7,movie 8,movie 9,movie 10,movie 11,movie 12,movie 13,movie 14,movie 15,movie 16,movie 17,movie 18,movie 19,movie 20,movie 21,movie 22,movie 23,movie 24,movie 25
139,"Punisher, The (2004)",X-Men: The Last Stand (2006),WALL·E (2008),Spider-Man 2 (2004),Resident Evil: Extinction (2007),X-Men: Days of Future Past (2014),Indiana Jones and the Last Crusade (1989),The Hunger Games: Catching Fire (2013),"Beautiful Mind, A (2001)","World's End, The (2013)",Freddy vs. Jason (2003),"New Guy, The (2002)",Waiting... (2005),Back to the Future (1985),Talladega Nights: The Ballad of Ricky Bobby (2006),Star Wars: Episode I - The Phantom Menace (1999),Finding Nemo (2003),Independence Day (a.k.a. ID4) (1996),"Matrix Reloaded, The (2003)","Sixth Sense, The (1999)","Princess Bride, The (1987)",Ace Ventura: Pet Detective (1994),Friends with Money (2006),Idiocracy (2006),Cheech & Chong's The Corsican Brothers (1984)
140,Laurel Canyon (2002),Pride and Glory (2008),"Brave One, The (2007)",Stander (2003),Highway 61 (1991),"Man Apart, A (2003)",Life or Something Like It (2002),Against the Ropes (2004),Bait (2000),Extreme Ops (2002),Paradise Now (2005),Albino Alligator (1996),When the Cat's Away (Chacun cherche son chat) (1996),Beautiful People (1999),Quadrophenia (1979),Artemisia (1997),"Cement Garden, The (1993)","Butcher Boy, The (1997)","Food, Inc. (2008)","Kite Runner, The (2007)","Widow of St. Pierre, The (Veuve de Saint-Pierre, La) (2000)",Wolf Creek (2005),Transporter 2 (2005),"Punisher, The (2004)","Island, The (2005)"
141,"Godfather: Part II, The (1974)",Pretty Woman (1990),Star Wars: Episode II - Attack of the Clones (2002),Star Wars: Episode I - The Phantom Menace (1999),Home Alone (1990),Harry Potter and the Deathly Hallows: Part 2 (2011),"Terminator, The (1984)","Usual Suspects, The (1995)",The Hunger Games: Catching Fire (2013),"Beautiful Mind, A (2001)",Pineapple Express (2008),Ghost (1990),Snowpiercer (2013),Schindler's List (1993),Scott Pilgrim vs. the World (2010),One Flew Over the Cuckoo's Nest (1975),Die Hard (1988),E.T. the Extra-Terrestrial (1982),Sleepless in Seattle (1993),Die Hard: With a Vengeance (1995),Dances with Wolves (1990),Terminator 2: Judgment Day (1991),"Da Vinci Code, The (2006)",Babe (1995),My Neighbor Totoro (Tonari no Totoro) (1988)
142,Martin (1977),"Body Snatcher, The (1945)",Night Flier (1997),Frankenstein Meets the Wolf Man (1943),Rawhead Rex (1986),Bride of Re-Animator (1990),Robot Carnival (Roboto kânibauru) (1987),Charly (1968),Strangeland (1998),Cure (1997),"Crazies, The (a.k.a. Code Name: Trixie) (1973)",Paperhouse (1988),Ghost Story (1981),"Handmaid's Tale, The (1990)",King Solomon's Mines (1985),King Solomon's Mines (1937),"Godzilla, King of the Monsters! (Kaijû-ô Gojira) (1956)",Stargate (1994),"Terminator, The (1984)","Shawshank Redemption, The (1994)",Waterworld (1995),Braveheart (1995),Independence Day (a.k.a. ID4) (1996),Pretty Woman (1990),GoldenEye (1995)
143,Monster-in-Law (2005),Good Luck Chuck (2007),Christmas with the Kranks (2004),Pulp Fiction (1994),"Shawshank Redemption, The (1994)",Iron Man 2 (2010),Austin Powers: International Man of Mystery (1997),"Monsters, Inc. (2001)",John Adams (2008),"Bourne Supremacy, The (2004)",Sleepless in Seattle (1993),"Way, Way Back, The (2013)",X-Men: Days of Future Past (2014),Ghost (1990),Shrek 2 (2004),"Silence of the Lambs, The (1991)",Pirates of the Caribbean: Dead Man's Chest (2006),X2: X-Men United (2003),Kill Bill: Vol. 2 (2004),Braveheart (1995),Knocked Up (2007),Spider-Man (2002),Captain America: The First Avenger (2011),Monty Python's Life of Brian (1979),"Beautiful Mind, A (2001)"
144,Happy-Go-Lucky (2008),Clear and Present Danger (1994),"Terminator, The (1984)",2001: A Space Odyssey (1968),Harry Potter and the Order of the Phoenix (2007),Batman Begins (2005),Outbreak (1995),"Beautiful Mind, A (2001)",Ice Age (2002),Stargate (1994),Crimson Tide (1995),V for Vendetta (2006),Harry Potter and the Half-Blood Prince (2009),Minority Report (2002),Catch Me If You Can (2002),Reservoir Dogs (1992),"Jungle Book, The (1967)",My Neighbor Totoro (Tonari no Totoro) (1988),While You Were Sleeping (1995),Cast Away (2000),"Princess Bride, The (1987)",Inception (2010),Princess Mononoke (Mononoke-hime) (1997),Spider-Man 2 (2004),Kill Bill: Vol. 1 (2003)
145,Clear and Present Danger (1994),Terminator 2: Judgment Day (1991),Ace Ventura: When Nature Calls (1995),Reservoir Dogs (1992),Sleepless in Seattle (1993),Seven (a.k.a. Se7en) (1995),GoldenEye (1995),Fargo (1996),Forrest Gump (1994),Goodfellas (1990),Independence Day (a.k.a. ID4) (1996),Snow White and the Seven Dwarfs (1937),Apocalypse Now (1979),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Mission: Impossible (1996),"Godfather: Part II, The (1974)","Mask, The (1994)",Star Wars: Episode VI - Return of the Jedi (1983),Braveheart (1995),Interview with the Vampire: The Vampire Chronicles (1994),"Lord of the Rings: The Return of the King, The (2003)",Toy Story 2 (1999),"Lion King, The (1994)",Rear Window (1954)
146,Dumb & Dumber (Dumb and Dumber) (1994),How to Steal a Million (1966),Underground (1995),Time of the Gypsies (Dom za vesanje) (1989),Die Hard: With a Vengeance (1995),Peter Pan (1953),Knocked Up (2007),Pinocchio (1940),Aladdin (1992),Alice in Wonderland (1951),xXx (2002),Independence Day (a.k.a. ID4) (1996),Apollo 13 (1995),Sin City (2005),Dances with Wolves (1990),Stargate (1994),King Kong (2005),Smokin' Aces (2006),Freaky Friday (2003),Nymphomaniac: Volume II (2013),Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches (1986),Phenomena (a.k.a. Creepers) (1985),Paradise (1982),High Heels (Tacones lejanos) (1991),Wolf and Calf (1984)
147,Star Trek II: The Wrath of Khan (1982),Star Trek VI: The Undiscovered Country (1991),Star Trek III: The Search for Spock (1984),Bambi (1942),Alice in Wonderland (1951),Star Trek: The Motion Picture (1979),Peter Pan (1953),Cinderella (1950),Star Trek: Insurrection (1998),Star Trek V: The Final Frontier (1989),Election (1999),Pleasantville (1998),Star Trek: First Contact (1996),Naked Gun 33 1/3: The Final Insult (1994),Being John Malkovich (1999),Lethal Weapon 2 (1989),Superman (1978),Young Frankenstein (1974),Superman II (1980),"Aristocats, The (1970)","Sword in the Stone, The (1963)",Dazed and Confused (1993),"Little Mermaid, The (1989)",Under Siege 2: Dark Territory (1995),"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)"
148,Pulp Fiction (1994),"Shawshank Redemption, The (1994)",Jurassic Park (1993),Beowulf & Grendel (2005),Gnomeo & Juliet (2011),Across the Hall (2009),"Iceman, The (2012)",Blue Mountain State: The Rise of Thadland (2015),Chaos (2005),"Game Over, Man! (2018)",MacGruber (2010),Notorious (2009),Maps to the Stars (2014),Free to Play (2014),Hesher (2010),6 Days to Air: The Making of South Park (2011),The Circle (2016),"Jeff, Who Lives at Home (2012)","Maiden Heist, The (2009)",Atomic Blonde (2017),John Wick (2014),Iron Man (2008),"Silence of the Lambs, The (1991)",Braveheart (1995),Sin City (2005)
149,Class (1983),Wisdom (1986),Prancer (1989),Polish Wedding (1998),King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),Braveheart (1995),Benji (1974),Bachelor Party (1984),Condorman (1981),Indiana Jones and the Last Crusade (1989),Indiana Jones and the Temple of Doom (1984),Die Hard (1988),Total Recall (1990),RoboCop (1987),"Lion King, The (1994)",Mrs. Doubtfire (1993),Waterworld (1995),Forrest Gump (1994),Saving Private Ryan (1998),True Lies (1994),Outbreak (1995),Titanic (1997),"Net, The (1995)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Running Man, The (1987)"
150,Star Trek II: The Wrath of Khan (1982),Reservoir Dogs (1992),Goodfellas (1990),Braveheart (1995),"Godfather, The (1972)",Apocalypse Now (1979),Forrest Gump (1994),Terminator 2: Judgment Day (1991),American Beauty (1999),Pulp Fiction (1994),Taxi Driver (1976),Back to the Future (1985),L.A. Confidential (1997),Trainspotting (1996),Star Trek III: The Search for Spock (1984),"Godfather: Part II, The (1974)","Clockwork Orange, A (1971)","Fifth Element, The (1997)",Star Wars: Episode I - The Phantom Menace (1999),Star Trek IV: The Voyage Home (1986),"Fugitive, The (1993)",Seven (a.k.a. Se7en) (1995),"Wizard of Oz, The (1939)",Jurassic Park (1993),Face/Off (1997)
151,Dragon ball Z 04: Lord Slug (1991),On the Beach (1959),Dutch (1991),Over the Garden Wall (2013),Cashback (2004),Case 39 (2009),The Hound of the Baskervilles (1988),Janie Jones (2010),Sleepwalkers (1992),Jane Eyre (2011),Slasher (2004),Other People's Money (1991),Sky High (2003),"Sky Crawlers, The (Sukai kurora) (2008)",Jack the Bear (1993),Anything for Her (Pour elle) (2008),Jesus Christ Vampire Hunter (2001),Smiley's People (1982),Omega Doom (1996),Haywire (2011),Ali G Indahouse (2002),First Kid (1996),Polish Wedding (1998),Comic Book Villains (2002),"Principal, The (1987)"
152,Star Wars: Episode VI - Return of the Jedi (1983),"Lord of the Rings: The Two Towers, The (2002)",Monty Python's Life of Brian (1979),Gladiator (2000),"Dark Knight Rises, The (2012)",Inglourious Basterds (2009),Kill Bill: Vol. 1 (2003),The Pacific (2010),Star Wars: Episode I - The Phantom Menace (1999),"Incredible Hulk, The (2008)","Prestige, The (2006)",Kill Bill: Vol. 2 (2004),Back to the Future (1985),Shutter Island (2010),Independence Day (a.k.a. ID4) (1996),Indiana Jones and the Temple of Doom (1984),Donnie Darko (2001),Jurassic Park (1993),"Fugitive, The (1993)",Dances with Wolves (1990),"Princess Bride, The (1987)",Pirates of the Caribbean: The Curse of the Black Pearl (2003),Reservoir Dogs (1992),Saving Private Ryan (1998),Terminator 2: Judgment Day (1991)
153,Leonard Part 6 (1987),Let It Ride (1989),My Boyfriend's Back (1993),"Gas, Food, Lodging (1992)","Adventures of Ford Fairlane, The (1990)",Comic Book Villains (2002),Tully (2000),"Babe, The (1992)",Kuffs (1992),Man's Best Friend (1993),"Principal, The (1987)",Harry Potter and the Prisoner of Azkaban (2004),"Sound of Music, The (1965)",Untitled Spider-Man Reboot (2017),"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders (2006)",Black Sea (2015),"Book Thief, The (2013)",Homefront (2013),Genius (2016),Che: Part Two (2008),Trumbo (2015),Agora (2009),Battle For Sevastopol (2015),SORI: Voice from the Heart (2016),Woman in Gold (2015)
154,Harry Potter and the Chamber of Secrets (2002),Harry Potter and the Deathly Hallows: Part 2 (2011),Harry Potter and the Prisoner of Azkaban (2004),The Raid: Redemption (2011),Harry Potter and the Goblet of Fire (2005),Pulp Fiction (1994),Jurassic Park (1993),WALL·E (2008),Man of Steel (2013),Thor (2011),"Silence of the Lambs, The (1991)",Captain America: The First Avenger (2011),Braveheart (1995),"Wolverine, The (2013)",Shrek (2001),Indiana Jones and the Temple of Doom (1984),Star Wars: Episode I - The Phantom Menace (1999),Captain America: Civil War (2016),"Fast & Furious (Fast and the Furious 4, The) (2009)","Fifth Element, The (1997)",Inglourious Basterds (2009),Apollo 13 (1995),Nerve (2016),Sin City: A Dame to Kill For (2014),District 9 (2009)
155,Beauty and the Beast (1991),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Memento (2000),Live and Let Die (1973),X2: X-Men United (2003),Terminator 2: Judgment Day (1991),Moonraker (1979),Spider-Man (2002),Thunderball (1965),All Dogs Go to Heaven (1989),Dr. No (1962),American History X (1998),Killers (2010),Double Take (2001),Dances with Wolves (1990),Speed (1994),Kill Bill: Vol. 2 (2004),For Your Eyes Only (1981),Goldfinger (1964),Inception (2010),"Fifth Element, The (1997)","Bourne Identity, The (2002)",2001: A Space Odyssey (1968),American Pie (1999),Shrek (2001)
156,Groove (2000),"Very Potter Musical, A (2009)",Nashville (1975),"Air Up There, The (1994)",Live and Let Die (1973),Dr. No (1962),Manon of the Spring (Manon des sources) (1986),Who's Harry Crumb? (1989),Curly Sue (1991),Frankie and Johnny (1991),Kitchen Stories (Salmer fra kjøkkenet) (2003),Little Nemo: Adventures in Slumberland (1992),"Fallen Idol, The (1948)","Miracle of Morgan's Creek, The (1944)",Unfaithfully Yours (1948),Great Expectations (1946),Are You Scared? (2006),Camille (1936),Big Wednesday (1978),Pinocchio (2002),Luna Papa (1999),Attila (Attila Flagello di Dio) (1982),Rocco and His Brothers (Rocco e i suoi fratelli) (1960),"Law of Desire (Ley del deseo, La) (1987)","Real Blonde, The (1997)"
157,Ernest Goes to Camp (1987),Star Wars: Episode VI - Return of the Jedi (1983),"Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Return of the King, The (2003)",Kill Bill: Vol. 1 (2003),American History X (1998),Indiana Jones and the Last Crusade (1989),"Lord of the Rings: The Two Towers, The (2002)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Shawshank Redemption, The (1994)","Little Mermaid, The (1989)",Kill Bill: Vol. 2 (2004),Back to the Future Part III (1990),Star Wars: Episode IV - A New Hope (1977),Inception (2010),Indiana Jones and the Temple of Doom (1984),"Terminator, The (1984)",Gladiator (2000),Forrest Gump (1994),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Eternal Sunshine of the Spotless Mind (2004),"Silence of the Lambs, The (1991)","Dark Knight, The (2008)",Die Hard (1988),There's Something About Mary (1998)
158,Taxi (2004),Fat Albert (2004),Lakeview Terrace (2008),Pulse (2006),"Hills Have Eyes II, The (2007)","Haunting in Connecticut, The (2009)",Anacondas: The Hunt for the Blood Orchid (2004),Live and Let Die (1973),Moonraker (1979),Thunderball (1965),Domino (2005),Dr. No (1962),For Your Eyes Only (1981),Goldfinger (1964),Drag Me to Hell (2009),Shoot 'Em Up (2007),Silent Hill (2006),xXx (2002),Unleashed (Danny the Dog) (2005),Buried (2010),Freddy vs. Jason (2003),Hostel: Part II (2007),Wolf Creek (2005),Willard (2003),"Spy Who Loved Me, The (1977)"
159,Daddy's Home (2015),Family Guy Presents: It's a Trap (2010),"Silence of the Lambs, The (1991)",Iron Man (2008),Terminator 2: Judgment Day (1991),I Now Pronounce You Chuck and Larry (2007),Die Hard: With a Vengeance (1995),"Usual Suspects, The (1995)",Ice Age (2002),Schindler's List (1993),"Ugly Truth, The (2009)",Disturbia (2007),Nick and Norah's Infinite Playlist (2008),Dave (1993),GoldenEye (1995),Harold & Kumar Escape from Guantanamo Bay (2008),We're the Millers (2013),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Role Models (2008),A Million Ways to Die in the West (2014),Safety Not Guaranteed (2012),"Bug's Life, A (1998)",War of the Worlds (2005),True Grit (2010),Seven (a.k.a. Se7en) (1995)
160,Death Wish 3 (1985),Fright Night Part II (1988),"Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981)",Caveman (1981),Tremors 3: Back to Perfection (2001),Halloween II (2009),Dog Soldiers (2002),"Dream Team, The (1989)",Drive Me Crazy (1999),Cradle Will Rock (1999),"20,000 Leagues Under the Sea (1916)",King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),Prancer (1989),This Is My Father (1998),Star Maps (1997),"Ballad of Narayama, The (Narayama bushiko) (1983)",New Rose Hotel (1998),Love Serenade (1996),"Source, The (1999)",Guinevere (1999),"Savage Nights (Nuits fauves, Les) (1992)",Temptress Moon (Feng Yue) (1996),Tex (1982),Walking and Talking (1996),Hurlyburly (1998)
161,Batman (1989),"Lovely Bones, The (2009)","Fugitive, The (1993)",Clear and Present Danger (1994),Stargate (1994),Speed (1994),Die Hard: With a Vengeance (1995),Batman Forever (1995),"Silence of the Lambs, The (1991)",Ace Ventura: Pet Detective (1994),Dances with Wolves (1990),Cliffhanger (1993),"Usual Suspects, The (1995)",Waterworld (1995),Aladdin (1992),"Mask, The (1994)",Braveheart (1995),Schindler's List (1993),Catch Me If You Can (2002),Jurassic Park (1993),Terminator 2: Judgment Day (1991),Crimson Tide (1995),Apollo 13 (1995),Fight Club (1999),Must Love Dogs (2005)
162,Waterworld (1995),Stargate (1994),Braveheart (1995),Reservoir Dogs (1992),Monty Python and the Holy Grail (1975),"Net, The (1995)",Seven (a.k.a. Se7en) (1995),Die Hard: With a Vengeance (1995),GoldenEye (1995),Goodfellas (1990),"Godfather, The (1972)",Apocalypse Now (1979),"Silence of the Lambs, The (1991)",Star Trek: Generations (1994),"Godfather: Part II, The (1974)",Aladdin (1992),"Lord of the Rings: The Return of the King, The (2003)",Taxi Driver (1976),Jurassic Park (1993),L.A. Confidential (1997),Star Wars: Episode VI - Return of the Jedi (1983),Saving Private Ryan (1998),"Fugitive, The (1993)","Clockwork Orange, A (1971)",Terminator 2: Judgment Day (1991)
163,Victory (a.k.a. Escape to Victory) (1981),Whatever Works (2009),Bugsy Malone (1976),Needful Things (1993),"Guy Thing, A (2003)",Men in Black (a.k.a. MIB) (1997),Reservoir Dogs (1992),Predator (1987),Total Recall (1990),Star Wars: Episode I - The Phantom Menace (1999),"Hoax, The (2007)",Zapped! (1982),Grind (2003),Fubar (2002),We Own the Night (2007),Last Days (2005),All About the Benjamins (2002),Condorman (1981),Over the Top (1987),Tango & Cash (1989),"Cat from Outer Space, The (1978)",Beyond the Mat (1999),"Fifth Element, The (1997)",Mars Attacks! (1996),"Terminator, The (1984)"
164,"Spy Who Loved Me, The (1977)","Debt, The (2011)",Spaced Invaders (1990),I Know Who Killed Me (2007),"Money Money Money (L'aventure, c'est l'aventure) (1972)",Teknolust (2002),Street Fighter II: The Animated Movie (Sutorîto Faitâ II gekijô-ban) (1994),Death of a Salesman (1985),If Looks Could Kill (1991),Stay Tuned (1992),Dead or Alive: Final (2002),"Stepfather, The (1987)",Monument Ave. (1998),"Day After, The (1983)",Darkon (2006),"Darkman II: Return of Durant, The (1995)",Dark Star (1974),"Delta Force, The (1986)",Mondo Cane (1962),Mongol (2007),RoboCop (1987),Live and Let Die (1973),On Her Majesty's Secret Service (1969),For Your Eyes Only (1981),Speed (1994)
165,"Shape of Things, The (2003)",Chuck & Buck (2000),George Washington (2000),Star Wars: Episode IV - A New Hope (1977),Gerry (2002),Crossroads (1986),Love Liza (2002),Gangster No. 1 (2000),"Dancer Upstairs, The (2002)",Blue Car (2002),My First Mister (2001),Mad Dog and Glory (1993),"Man on the Train (Homme du train, L') (2002)",Lost in La Mancha (2002),Fat Girl (À ma soeur!) (2001),Camp (2003),Who's That Girl? (1987),Nico and Dani (Krámpack) (2000),Human Traffic (1999),Italian for Beginners (Italiensk for begyndere) (2000),"Picture of Dorian Gray, The (1945)",I Walked with a Zombie (1943),Dr. Jekyll and Mr. Hyde (1931),Sherlock Holmes: Dressed to Kill (1946),True Lies (1994)
166,"Greatest Game Ever Played, The (2005)",Harry Potter and the Half-Blood Prince (2009),Dr. No (1962),True Lies (1994),Resident Evil: Apocalypse (2004),Harry Potter and the Deathly Hallows: Part 1 (2010),"Fist of Fury (Chinese Connection, The) (Jing wu men) (1972)",Ghost (1990),Max Keeble's Big Move (2001),Black Robe (1991),The Great Raid (2005),I Am David (2003),Aliens (1986),Mrs. Doubtfire (1993),Die Hard: With a Vengeance (1995),Harry Potter and the Deathly Hallows: Part 2 (2011),Drag Me to Hell (2009),Twister (1996),RoboCop (1987),"Beautiful Mind, A (2001)",Lethal Weapon (1987),Buried (2010),Freddy vs. Jason (2003),Transporter 2 (2005),Underworld: Evolution (2006)
167,"House Bunny, The (2008)",Elizabeth: The Golden Age (2007),Veronica Guerin (2003),Stander (2003),Highway 61 (1991),"Family Thing, A (1996)","Brave One, The (2007)",X-Men: The Last Stand (2006),Pretty Woman (1990),Hot Fuzz (2007),Men at Work (1990),Unleashed (Danny the Dog) (2005),Ghost (1990),Sin City (2005),Hellboy (2004),Always (1989),"Terminator, The (1984)","Bourne Ultimatum, The (2007)",War of the Worlds (2005),Kill Bill: Vol. 1 (2003),"Beautiful Mind, A (2001)",Weekend at Bernie's II (1993),"Wizard, The (1989)",Gonzo: The Life and Work of Dr. Hunter S. Thompson (2008),Taxi 3 (2003)
168,Stage Door (1937),Star Trek II: The Wrath of Khan (1982),Star Trek VI: The Undiscovered Country (1991),"Shawshank Redemption, The (1994)",Greenberg (2010),Remo Williams: The Adventure Begins (1985),Tough Guys (1986),Silent Movie (1976),Bunny Lake Is Missing (1965),Shame (Skammen) (1968),"Bucket Of Blood, A (1959)",Mischief (1985),Those Magnificent Men in Their Flying Machines (1965),Strangers with Candy (2005),Billy Liar (1963),Through a Glass Darkly (Såsom i en spegel) (1961),Confidential Report (1955),Black Orpheus (Orfeu Negro) (1959),Nosferatu the Vampyre (Nosferatu: Phantom der Nacht) (1979),Stroszek (1977),Winter Light (Nattvardsgästerna) (1963),"Libertine, The (2004)","Wind and the Lion, The (1975)","Decline of Western Civilization Part II: The Metal Years, The (1988)",Sansho the Bailiff (Sanshô dayû) (1954)
169,Moonlight Mile (2002),Sweet Sixteen (2002),"Son's Room, The (Stanza del figlio, La) (2001)","Barbarian Invasions, The (Les invasions barbares) (2003)",Mr. Deeds Goes to Town (1936),Sherlock Jr. (1924),Gonzo: The Life and Work of Dr. Hunter S. Thompson (2008),"Wizard, The (1989)","Machine Girl, The (Kataude mashin gâru) (2008)",From Paris with Love (2010),Strange Wilderness (2008),Twisted (2004),Desk Set (1957),"11'09""01 - September 11 (2002)",Secret Ballot (Raye makhfi) (2001),"Grass Is Greener, The (1960)",Washington Square (1997),Camille Claudel (1988),Woman of the Year (1942),Love Story (1970),We Don't Live Here Anymore (2004),Staying Alive (1983),"Paradine Case, The (1947)",I Was a Male War Bride (1949),Stage Fright (1950)
170,Terminator 2: Judgment Day (1991),Mission: Impossible (1996),Independence Day (a.k.a. ID4) (1996),Pinocchio (1940),Dave (1993),Cliffhanger (1993),Schindler's List (1993),Fargo (1996),Seven (a.k.a. Se7en) (1995),Star Wars: Episode IV - A New Hope (1977),Die Hard: With a Vengeance (1995),Saving Private Ryan (1998),"American President, The (1995)",Goodfellas (1990),"Matrix, The (1999)","Usual Suspects, The (1995)",American Beauty (1999),Four Weddings and a Funeral (1994),Dumb & Dumber (Dumb and Dumber) (1994),"Little Mermaid, The (1989)",Heat (1995),"Mask, The (1994)",Interview with the Vampire: The Vampire Chronicles (1994),"Lord of the Rings: The Return of the King, The (2003)",True Lies (1994)
171,Permanent Midnight (1998),Liam (2000),Whatever (1998),Himalaya (Himalaya - l'enfance d'un chef) (1999),"Filth and the Fury, The (2000)",Wallace & Gromit: A Close Shave (1995),"Assignment, The (1997)",Mephisto (1981),Pretty Woman (1990),Clear and Present Danger (1994),Stargate (1994),Die Hard: With a Vengeance (1995),"Daytrippers, The (1996)","Long Goodbye, The (1973)","Doom Generation, The (1995)","Anniversary Party, The (2001)",L.I.E. (2001),"Believers, The (1987)",Two Girls and a Guy (1997),"Happy, Texas (1999)",Rock Star (2001),Foxfire (1996),"Last Days of Disco, The (1998)",Colors (1988),"Matrix, The (1999)"
172,Kill Bill: Vol. 1 (2003),Pulp Fiction (1994),Indiana Jones and the Last Crusade (1989),"Shawshank Redemption, The (1994)","Incredibles, The (2004)",X2: X-Men United (2003),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Spider-Man (2002),True Lies (1994),Fight Club (1999),Batman Begins (2005),"Terminator, The (1984)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),V for Vendetta (2006),Sin City (2005),Independence Day (a.k.a. ID4) (1996),"Bourne Identity, The (2002)",Seven (a.k.a. Se7en) (1995),Shaun of the Dead (2004),Batman Forever (1995),Saving Private Ryan (1998),American Beauty (1999),Star Wars: Episode I - The Phantom Menace (1999),Titanic (1997),"Fifth Element, The (1997)"
173,"Terminator, The (1984)","Fugitive, The (1993)",Waterworld (1995),Independence Day (a.k.a. ID4) (1996),"Shawshank Redemption, The (1994)",True Lies (1994),Outbreak (1995),Fargo (1996),"Net, The (1995)",Star Wars: Episode VI - Return of the Jedi (1983),Die Hard: With a Vengeance (1995),Cliffhanger (1993),Clear and Present Danger (1994),American Beauty (1999),Star Wars: Episode V - The Empire Strikes Back (1980),Ace Ventura: Pet Detective (1994),"Silence of the Lambs, The (1991)",Seven (a.k.a. Se7en) (1995),Snow White and the Seven Dwarfs (1937),Aliens (1986),Mission: Impossible (1996),Indiana Jones and the Last Crusade (1989),"Mask, The (1994)",Star Wars: Episode IV - A New Hope (1977),Goodfellas (1990)
174,"Terminator, The (1984)",Cliffhanger (1993),"Shawshank Redemption, The (1994)",Braveheart (1995),Star Wars: Episode VI - Return of the Jedi (1983),Reservoir Dogs (1992),Seven (a.k.a. Se7en) (1995),Fargo (1996),Goodfellas (1990),Aliens (1986),Indiana Jones and the Last Crusade (1989),"Godfather, The (1972)","Silence of the Lambs, The (1991)","Godfather: Part II, The (1974)",Broken Arrow (1996),Back to the Future (1985),Saving Private Ryan (1998),"Rock, The (1996)","Fifth Element, The (1997)",Star Wars: Episode I - The Phantom Menace (1999),Fight Club (1999),Indiana Jones and the Temple of Doom (1984),"Matrix, The (1999)",Heat (1995),"Nutty Professor, The (1996)"
175,Paparazzi (2004),Stay Alive (2006),Boys and Girls (2000),"Boy Who Could Fly, The (1986)",All About the Benjamins (2002),We Own the Night (2007),Zapped! (1982),Fubar (2002),"Hoax, The (2007)",Last Days (2005),Into the Blue (2005),Stomp the Yard (2007),Gridiron Gang (2006),We Are Marshall (2006),"Astronaut Farmer, The (2007)",Teacher's Pet (1958),Stop-Loss (2008),Employee of the Month (2004),Annapolis (2006),Indie Game: The Movie (2012),Bella (2006),"Patriot, The (1998)",SherryBaby (2006),"Air I Breathe, The (2007)","Bigger, Stronger, Faster* (2008)"
176,"Terminator, The (1984)",Mrs. Doubtfire (1993),Waterworld (1995),"Mask, The (1994)",Forrest Gump (1994),Jurassic Park (1993),Pretty Woman (1990),"Net, The (1995)",Star Wars: Episode VI - Return of the Jedi (1983),Schindler's List (1993),Fargo (1996),Reservoir Dogs (1992),Star Wars: Episode V - The Empire Strikes Back (1980),Men in Black (a.k.a. MIB) (1997),Toy Story (1995),Get Shorty (1995),Aliens (1986),Interview with the Vampire: The Vampire Chronicles (1994),Mission: Impossible (1996),Indiana Jones and the Last Crusade (1989),Disclosure (1994),Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),Goodfellas (1990),"Matrix, The (1999)"
177,Elizabethtown (2005),Tremors 3: Back to Perfection (2001),Dog Soldiers (2002),Halloween II (2009),Stage Door (1937),Observe and Report (2009),Independence Day: Resurgence (2016),All of Me (1984),Mean Creek (2004),Housesitter (1992),Follow the Fleet (1936),Stoker (2013),"Eye, The (Gin gwai) (Jian gui) (2002)",Danny Deckchair (2003),Blackboard Jungle (1955),Chances Are (1989),"Private Life of Sherlock Holmes, The (1970)","Glass Menagerie, The (1987)",Norma Rae (1979),Project X (1987),"Expendables 2, The (2012)",Wallace & Gromit: A Close Shave (1995),Sex and Lucia (Lucía y el sexo) (2001),Tremors II: Aftershocks (1996),"Interpreter, The (2005)"
